地域,人口,面積,
千代田区,61420,11.66,5267.581475
中央区,157484,10.21,15424.4858
港区,253940,20.37,12466.37212
新宿区,343494,18.22,18852.57958
文京区,227224,11.29,20126.12932
台東区,203219,10.11,20100.7913
墨田区,264515,13.77,19209.51344
江東区,510692,40.16,12716.43426
品川区,398732,22.84,17457.61821
目黒区,283153,14.67,19301.49966
大田区,728437,60.83,11974.96301
世田谷区,921708,58.05,15877.82946
渋谷区,229994,15.11,15221.31039
中野区,335813,15.59,21540.28223
杉並区,575691,34.06,16902.26072
豊島区,297946,13.01,22901.30669
北区,348274,20.61,16898.3018
荒川区,216098,10.16,21269.48819
板橋区,573966,32.22,17813.96648
練馬区,731360,48.08,15211.31448
足立区,677536,53.25,12723.68075
葛飾区,450815,34.8,12954.45402
江戸川区,690614,49.9,13839.95992
八王子市,576907,186.38,3095.326752
立川市,179326,24.36,7361.494253
武蔵野市,146333,10.98,13327.23133
三鷹市,190356,16.42,11592.93544
青梅市,135527,103.31,1311.847837
府中市,261403,29.43,8882.195039
昭島市,111903,17.34,6453.460208
調布市,235430,21.58,10909.63855
町田市,433843,71.55,6063.49406
小金井市,123868,11.3,10961.76991
小平市,192716,20.51,9396.196977
日野市,188183,27.55,6830.598911
東村山市,150030,17.14,8753.208868
国分寺市,124493,11.46,10863.26353
国立市,74647,8.15,9159.141104
福生市,58140,10.16,5722.440945
狛江市,82360,6.39,12888.88889
東大和市,84674,13.42,6309.538003
清瀬市,75329,10.23,7363.538612
東久留米市,116328,12.88,9031.677019
武蔵村山市,71652,15.32,4677.023499
多摩市,147541,21.01,7022.417896
稲城市,90270,17.97,5023.372287
羽村市,55130,9.9,5568.686869
あきる野市,80326,73.47,1093.317
西東京市,202069,15.75,12829.77778
瑞穂町,33064,16.85,1962.255193
日の出町,17321,28.07,617.0644817
檜原村,2092,105.41,19.84631439
奥多摩町,5037,225.53,22.33405755
大島町,7552,90.76,83.20846188
利島村,346,4.12,83.98058252
新島村,2623,27.54,95.2432825
神津島村,1841,18.58,99.08503767
三宅村,2372,55.26,42.92435758
御蔵島村,344,20.54,16.74780915
八丈町,7292,72.23,100.9552817
青ヶ島村,177,5.96,29.69798658
小笠原村,3073,106.78,28.77879753
